title,image,published,description,category,author,image_relation,fake_news_label,image_location
"Dogs blink more in response to other dogs doing the same, hinting at social connection",https://scx2.b-cdn.net/gfx/news/2025/dogs-blink-more-in-res-1.jpg,2025-02-19 15:10:01+00:00,"A team of life scientists at the University of Parma in Italy has found that dogs tend to blink more in response to other dogs doing the same. In their study published in the journal Royal Society Open Science, the group conducted lab experiments with dogs watching videos of other dogs blinking.","science, physics",Bob Yirka,Yes,Real,Images\image_257.jpg
Researchers describe new molecular mechanisms linked to insulin resistance,https://scx2.b-cdn.net/gfx/news/2025/researchers-describe-n.jpg,2025-02-19 15:06:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Cell Commu...","medical, science",University Of Barcelona,Yes,Real,Images\image_258.jpg
"Transforming HIV diagnosis: A low-cost, point-of-care detection solution",https://scx2.b-cdn.net/gfx/news/hires/2025/transforming-hiv-diagn-1.jpg,2025-02-19 14:41:18+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Detection specific...","medical, science",Aerospace Information Research Institute,Yes,Real,Images\image_259.jpg
Understanding AI decision-making: Research examines model transparency,https://scx2.b-cdn.net/gfx/news/hires/2025/understanding-ai-decis.jpg,2025-02-19 14:41:02+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

The SAGE framework...",science,Georgie Gould,Yes,Real,Images\image_260.jpg
Discovery reveals key protein that helps squamous cell carcinoma resist ferroptosis,https://scx2.b-cdn.net/gfx/news/hires/2025/new-discovery-reveals.jpg,2025-02-19 14:40:47+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

A model illustrati...","medical, science",Zhang Nannan,Yes,Real,Images\image_261.jpg
Crushed Titanic chandelier that hung in first-class smoking lounge heads to museum,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2025/02/1024/512/titanic-2-1.jpg?ve=1&tl=1,2025-02-19 14:30:40+00:00,"A 20-pound chandelier that hung in the RMS Titanic has arrived at the Liberty Science Center in Jersey City, New Jersey, after spending decades sitting on the bottom of the Atlantic.",general,Fox News,Yes,Real,Images\image_263.jpg
Visualization technique depicts brain-wide activity change as geometric patterns,https://scx2.b-cdn.net/gfx/news/hires/2025/visualization-techniqu.jpg,2025-02-19 12:49:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Quantitative evalu...","medical, science",University Of Tsukuba,Yes,Real,Images\image_268.jpg
"Many adults stop GLP-1 therapy within a year with low restart rates, analysis finds",https://scx2.b-cdn.net/gfx/news/hires/2022/weight-1.jpg,2025-02-19 12:10:01+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Unsplash/C...","medical, science",Justin Jackson,Yes,Real,Images\image_274.jpg
How a curious polymer could prevent blood clotting in medical implants,https://scx2.b-cdn.net/gfx/news/hires/2025/how-a-curious-polymer.jpg,2025-02-19 12:01:04+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

A spiral painted i...","medical, science",University Of Sydney,Yes,Real,Images\image_275.jpg
"We are no longer living longer, study shows",https://scx2.b-cdn.net/gfx/news/hires/2016/57f6ba8e69232.jpg,2025-02-19 11:57:06+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: CC0 Public...","medical, science",University Of East Anglia,Yes,Real,Images\image_276.jpg
"Daily drug can mimic health benefits of high-altitude, low-oxygen living for mitochondrial disease",https://scx2.b-cdn.net/gfx/news/hires/2025/daily-drug-can-mimic-h.jpg,2025-02-19 11:35:05+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

The scientists sho...","medical, science",Sarah C.P. Williams,Yes,Real,Images\image_277.jpg
UR Medicine's Fitness Science offers free sports bra fittings,https://s7d2.scene7.com/is/image/TWCNews/sportsbra,2025-02-19 11:30:00+00:00,Medical research shows eight out 10 women are wearing the wrong-sized sports bra.,"regional, rochester, new-york",Wendy Mills,Yes,Real,Images\image_278.jpg
Study examines pros and cons of aggressive blood pressure lowering in older adults,https://scx2.b-cdn.net/gfx/news/hires/2023/blood-pressure-2.jpg,2025-02-19 11:16:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Unsplash/C...","medical, science",medicalxpress,Yes,Real,Images\image_279.jpg
Would the prohibition of menthol cigarettes cause more harm than good?,https://scx2.b-cdn.net/gfx/news/hires/2022/quit-smoking.jpg,2025-02-19 11:12:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Pixabay/CC...","medical, science",medicalxpress,Yes,Real,Images\image_280.jpg
Research indicates that neuroestrogens help suppress appetite,https://scx2.b-cdn.net/gfx/news/hires/2022/eating.jpg,2025-02-19 11:09:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Unsplash/C...","medical, science",medicalxpress,Yes,Real,Images\image_281.jpg
"Newborns experiencing neonatal seizures face an elevated risk of developing epilepsy, study shows",https://scx2.b-cdn.net/gfx/news/hires/2023/newborn-1.jpg,2025-02-19 11:08:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Unsplash/C...","medical, science",medicalxpress,Yes,Real,Images\image_282.jpg
Why retractions data could be a powerful tool for cleaning up science,https://media.nature.com/lw1200/magazine-assets/d41586-025-00509-1/d41586-025-00509-1_50649122.jpg,2025-02-19 10:58:44+00:00,"The number of retracted papers has been rising over the past few years.Credit: Priscila Zambotto/Getty

Many universities and research institutions around the world prize high productivity. They encou...",academia,nature,Yes,Real,Images\image_284.jpg
Rangers to euthanise 90 dolphins stranded on remote Australian beach,https://scx2.b-cdn.net/gfx/news/2025/dolphins-stranded-on-a.jpg,2025-02-19 09:30:02+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Dolphins stranded ...",science,phys,Yes,Real,Images\image_285.jpg
Indonesia’s Prabowo Replaces Aide in First Cabinet Reshuffle,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iHr_947aSqWg/v1/1200x800.jpg,2025-02-19 08:46:03+00:00,"Indonesian President Prabowo Subianto named Brian Yuliarto as the new higher education, science and technology minister in his first cabinet reshuffle after taking office last year.",general,Unknown,Yes,Real,Images\image_286.jpg
Sea turtles return to the Atlantic Ocean off Florida after being stunned by the cold,https://scx2.b-cdn.net/gfx/news/hires/2025/sea-turtles-return-to.jpg,2025-02-19 06:55:23+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

A green sea turtle...",science,phys,Yes,Real,Images\image_288.jpg
City killer' asteroid now has 3.1% chance of hitting Earth: NASA,https://scx2.b-cdn.net/gfx/news/2025/this-handout-picture-p-1.jpg,2025-02-19 06:53:27+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

This handout pictu...",science,Issam Ahmed With Daniel Lawler In Paris,Yes,Real,Images\image_289.jpg
NaturalReasoning: Reasoning in the Wild with 2.8M Challenging Questions,https://static.arxiv.org/icons/twitter/arxiv-logo-twitter-square.png,2025-02-19 05:00:00+00:00,"Scaling reasoning capabilities beyond traditional domains such as math and coding is hindered by the lack of diverse and high-quality questions. To overcome this limitation, we introduce a scalable approach for generating diverse and challenging reasoning questions, accompanied by reference answers....","academic, CS","Li, Xian",No,Real,Images\image_291.png
National Science Foundation cuts 10 percent of staff,https://thehill.com/wp-content/uploads/sites/2/2023/08/64eacd1fcd2418.64254822-e1695912324973.jpeg?strip=1&w=640,2025-02-18 23:58:05+00:00,"Nearly 170 employees at the National Science Foundation (NSF) who were still on probation were fired by the Trump administration on Tuesday, union officials told The Hill. The cuts at the agency re…",technology,Rebecca Beitsch,Yes,Real,Images\image_297.jpeg
New therapy reduces reoffending in male offenders with antisocial personality disorder,https://scx2.b-cdn.net/gfx/news/hires/2024/therapy.jpg,2025-02-18 23:30:02+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Alex Green...","medical, science",University College London,Yes,Real,Images\image_298.jpg
Exoplanet Winds Expose a World Out of Science Fiction,https://images.ctfassets.net/cnu0m8re1exe/5p4gfRShWZw2JJGll6JpGs/a060f73d123a672198d3144629ab4bf4/Atmosphere-Layers-Exoplanet.jpg,2025-02-18 22:45:00+00:00,"Learn more about the atmosphere of WASP-121b, or Tylos, whose winds are layered like no other planet’s.","science, opinion",Sam Walters,Yes,Real,Images\image_299.jpg
"Synaptic device array integrates sensing, memory, and processing for artificial vision",https://scx2.b-cdn.net/gfx/news/2025/mos2-based-optoelectro.jpg,2025-02-18 22:24:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Human visual syste...",science,Aerospace Information Research Institute,Yes,Real,Images\image_300.jpg
Treating liver fibrosis and metabolic dysfunction-associated steatohepatitis: Research identifies novel mechanism,https://scx2.b-cdn.net/gfx/news/hires/2025/fgf21-activates-ppp6c.jpg,2025-02-18 22:17:02+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

The proposed model...","medical, science",Liu Jia,Yes,Real,Images\image_301.jpg
2 King’s College health science leaders honored by National Academies of Practice | Go Lackawanna,https://www.golackawanna.com/wp-content/uploads/2025/02/131302748_web1_obrien-dessoye.jpg,2025-02-18 22:17:00+00:00,"WILKES-BARRE — King’s College on Tuesday announced that Dr. Jennifer Dessoye, chair of occupational therapy, and Dr. Christopher O’Brien, dean of health sciences, have received honors from the…","regional, scranton, pennsylvania",Bill O'Boyle,Yes,Real,Images\image_302.jpg
"From 2019 to 2020, ophthalmic procedures in seniors decreased by 17.9%",https://scx2.b-cdn.net/gfx/news/2025/2019-to-2020-saw-179-p.jpg,2025-02-18 22:16:02+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

There was a notabl...","medical, science",Elana Gotkine,Yes,Real,Images\image_303.jpg
National Science Foundation fires 168 probationary employees on Trump administration's orders,https://assets3.cbsnewsstatic.com/hub/i/r/2023/12/14/06b83fcb-7c2e-415c-b21d-62e4589b7c21/thumbnail/1200x630/d21271ca387e0ea2ef6694de6b3276ac/gettyimages-482187443.jpg?v=db3d87ba7bf4d4ff13b65eabcf0d9bea,2025-02-18 22:15:30+00:00,The federal agency that funds science research says the staff reduction came in response to a White House directive.,"finance, business",cbsnews,Yes,Real,Images\image_304.jpg
Guidance provided for primary care providers to identify biliary atresia in newborns by 2 to 4 weeks,https://scx2.b-cdn.net/gfx/news/2025/guidance-provided-for.jpg,2025-02-18 22:15:02+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

In a clinical repo...","medical, science",Elana Gotkine,Yes,Real,Images\image_305.jpg
NIH research funding drops $1B under Trump administration,https://scx2.b-cdn.net/gfx/news/2025/nih-research-funding-d.jpg,2025-02-18 22:14:04+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Federal funding fo...","medical, science",India Edwards,Yes,Real,Images\image_306.jpg
"Guidelines needed for interpreting continuous glucose monitoring reports in those without diabetes, say researchers",https://scx2.b-cdn.net/gfx/news/hires/2021/glucose-monitor.jpg,2025-02-18 22:13:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Pixabay/CC...","medical, science",Boston University School Of Medicine,Yes,Real,Images\image_307.jpg
"Medicaid telehealth reimbursement policies are exacerbating workforce shortages in safety net clinics, study finds",https://scx2.b-cdn.net/gfx/news/hires/2025/medicaid.jpg,2025-02-18 22:11:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Unsplash/C...","medical, science",Columbia University'S Mailman School Of Public Health,Yes,Real,Images\image_309.jpg
"Government Agencies, Universities, Nonprofits Pause Critical Work Over Trump Administration Executive Orders",https://static.scientificamerican.com/dam/m/2bf9b748560f46a1/original/Protesters-at-Stop-the-Coup-Rally-on-Presidents-Day-in-New-York-City.jpg?m=1739915057.288&w=1200,2025-02-18 22:00:00+00:00,America's status as a global science leader is in doubt as the administration freezes funding and targets research that references climate or diversity,science,"Chelsea Harvey, E&E News",No,Real,Images\image_313.jpg
Executive order blocks federal funds for schools that require COVID vaccines,https://scx2.b-cdn.net/gfx/news/2025/trump-blocks-federal-f.jpg,2025-02-18 21:59:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

President Donald T...","medical, science",India Edwards,Yes,Real,Images\image_314.jpg
FDA approves more broadly protective meningococcal vaccine,https://scx2.b-cdn.net/gfx/news/2025/fda-approves-more-broa.jpg,2025-02-18 21:57:02+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

The U.S. Food and ...","medical, science",Stephanie Brown,Yes,Real,Images\image_315.jpg
National Science Foundation Fires 168 Workers on Trump's Order,https://static01.nyt.com/images/2025/02/18/multimedia/18dc-federal-workers-photo-ftmw/18dc-federal-workers-photo-ftmw-facebookJumbo.jpg,2025-02-18 21:55:27+00:00,"More than 2,000 workers at the Interior Department were fired in recent days, according to counts from workers groups and those familiar with the cuts, as probationary workers were targeted across the government.","regional, usa",Chris Cameron,No,Real,Images\image_316.jpg
Americans willing to pay nearly $100 billion to reduce gun violence,https://scx2.b-cdn.net/gfx/news/hires/2022/gun-violence-2.jpg,2025-02-18 19:30:18+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Pixabay/CC...",science,Duke University,Yes,Real,Images\image_325.jpg
"Federal workers across the Northwest are being fired by the Trump administration. They warn of impacts to wildfires, science and historic landmarks - NewsBreak",https://img.particlenews.com/img/id/3ANX1z_0z4jQXM100,2025-02-18 19:29:29+00:00,The letter from the federal government arrived in an email Thursday. It informed the Department of Agriculture worker that he was fired. First came a wave,regional,ALEXANDRA DUGGAN The Spokesman-Review,Yes,Real,Images\image_326.jpg
New study reveals hidden risks of social capital in microfinance during economic crises,https://scx2.b-cdn.net/gfx/news/hires/2025/financial.jpg,2025-02-18 19:21:12+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Unsplash/C...",science,Strategic Management Society,Yes,Real,Images\image_327.jpg
"Use of child sexual abuse material is often associated with other forms of violence, say researchers",https://scx2.b-cdn.net/gfx/news/hires/2025/fingers-on-keyboard.jpg,2025-02-18 19:17:07+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Pixabay/CC...",science,University Of Eastern Finland,No,Real,Images\image_328.jpg
Economic need and past actions affect whether there is cooperation or antagonism between communities,https://scx2.b-cdn.net/gfx/news/2025/breaking-the-us-versus.jpg,2025-02-18 19:15:49+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Researchers examin...",science,Max Planck Society,Yes,Real,Images\image_329.jpg
Network analysis identifies 15 key motives driving human behavior,https://scx2.b-cdn.net/gfx/news/hires/2025/scientists-identify-fi.jpg,2025-02-18 19:14:05+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Network plot of th...",science,National Research University Higher School Of Economics,Yes,Real,Images\image_330.jpg
"Gamified building sites provide safer, more accessible learning opportunities for construction students",https://scx2.b-cdn.net/gfx/news/2025/gamified-building-site.jpg,2025-02-18 18:51:19+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: University...",science,University Of South Australia,Yes,Real,Images\image_331.jpg
Consumers who believe in karma may be less likely to boycott brands for bad behavior,https://scx2.b-cdn.net/gfx/news/hires/2022/brand-boycott.jpg,2025-02-18 18:38:50+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Unsplash/C...",science,West Virginia University,Yes,Real,Images\image_332.jpg
Older patients can inadvertently be put at risk when they are taken off blood-thinning drugs,https://scx2.b-cdn.net/gfx/news/hires/2025/pill-box.jpg,2025-02-18 18:09:05+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Tima Miros...","medical, science",University Of Bath,Yes,Real,Images\image_333.jpg
Stigmatizing language related to substance use in grants shows notable drop,https://scx2.b-cdn.net/gfx/news/hires/2025/stigma.jpg,2025-02-18 18:07:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Luis Quint...","medical, science",Columbia University'S Mailman School Of Public Health,Yes,Real,Images\image_334.jpg
Surgical approach has 'significant impact' on treatment of Crohn's disease,https://scx2.b-cdn.net/gfx/news/hires/2020/1-surgery.jpg,2025-02-18 18:06:33+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: CC0 Public...","medical, science",University Of Limerick,Yes,Real,Images\image_335.jpg
"Many gluten-free foods are high in calories and sugar, low on fiber and protein, and they cost more: New research",https://scx2.b-cdn.net/gfx/news/hires/2023/gluten-free-1.jpg,2025-02-18 18:05:19+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Pixabay/CC...","medical, science",Sachin Rustgi,Yes,Real,Images\image_336.jpg
How to be happy with what you have and avoid the trap of comparison,https://scx2.b-cdn.net/gfx/news/hires/2023/be-happy.jpg,2025-02-18 18:04:35+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Pixabay/CC...","medical, science",Joshua Forstenzer,Yes,Real,Images\image_338.jpg
"Mathematical model reveals surprising light levels in the womb, reshaping fetal vision understanding",https://scx2.b-cdn.net/gfx/news/hires/2023/fetus.jpg,2025-02-18 18:00:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Pixabay/CC...","medical, science",University Of Waikato,Yes,Real,Images\image_342.jpg
Common osteoporosis treatment drug shows promise against rare type of heart disease,https://scx2.b-cdn.net/gfx/news/hires/2025/common-osteoporosis-tr.jpg,2025-02-18 17:43:21+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Structure characte...","medical, science",Anna Christensen,Yes,Real,Images\image_346.jpg
"States report zero abortions, sparking debate over data accuracy",https://scx2.b-cdn.net/gfx/news/hires/2024/sad-woman.jpg,2025-02-18 17:42:42+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Unsplash/C...","medical, science",Sarah Varney,Yes,Real,Images\image_347.jpg
Inflammation may explain how opioid use disorder contributes to preterm birth,https://scx2.b-cdn.net/gfx/news/hires/2025/pregnant-5.jpg,2025-02-18 17:39:04+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Unsplash/C...","medical, science",Isabella Backman,Yes,Real,Images\image_348.jpg
FDA approves tablet form of Evrysdi for spinal muscular atrophy,https://scx2.b-cdn.net/gfx/news/2025/fda-approves-tablet-fo.jpg,2025-02-18 17:22:54+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

The U.S. Food and ...","medical, science",Lori Solomon,No,Real,Images\image_350.jpg
External factors that could lead to dissociation in young people revealed,https://scx2.b-cdn.net/gfx/news/hires/2023/young-person.jpg,2025-02-18 17:19:08+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Pixabay/CC...","medical, science",University Of Birmingham,Yes,Real,Images\image_355.jpg
Deadline Alert: Integral Ad Science Holding Corp. (IAS) Investors Who Lost Money Urged To Contact Glancy Prongay & Murray LLP About Securities Fraud Lawsuit,https://www.benzinga.com/next-assets/images/schema-image-default.png,2025-02-18 17:00:00+00:00,"LOS ANGELES, Feb. 18, 2025 (GLOBE NEWSWIRE) -- Glancy Prongay & Murray LLP reminds investors of the upcoming March 31, 2025 deadline to file a lead plaintiff motion in the class action filed on behalf...","finance, legal",Globe Newswire,No,Real,Images\image_357.png
Tweets and AI models reveal heat stroke risks in urban areas,https://scx2.b-cdn.net/gfx/news/hires/2025/social-media-posts-and.jpg,2025-02-18 16:57:04+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Researchers from J...","medical, science",Sophia University,Yes,Real,Images\image_358.jpg
Gene editing reveals enzyme's role in placental health during pregnancy,https://scx2.b-cdn.net/gfx/news/2025/new-clues-to-a-healthy.jpg,2025-02-18 16:41:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Cell Death...","medical, science",Flinders University,Yes,Real,Images\image_360.jpg
Running the gauntlet to get pregnant when you're LGBTQ+,https://scx2.b-cdn.net/gfx/news/2025/running-the-gauntlet-t.jpg,2025-02-18 16:38:04+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Zoé Benoît, Kather...",science,Catherine Couturier,Yes,Real,Images\image_361.jpg
New study evaluates public policy preferences for limiting children's access to energy drinks,https://scx2.b-cdn.net/gfx/news/2025/new-study-evaluates-pu.jpg,2025-02-18 16:37:23+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

A new paper co-wri...",science,Phil Ciciora,Yes,Real,Images\image_362.jpg
Woman in cancer remission for record 19 years after CAR-T immune treatment,https://media.nature.com/lw1200/magazine-assets/d41586-025-00507-3/d41586-025-00507-3_50648950.jpg,2025-02-18 16:36:43+00:00,"A CAR-T cell (orange) attacks a cancer cell (green), which is starting to contract.Credit: Eye Of Science/Science Photo Library

The girl was four years old when she arrived at Texas Children’s Hospit...",academia,Ledford,Yes,Real,Images\image_363.jpg
Quantitative method evaluates disaster resilience in building energy systems,https://scx2.b-cdn.net/gfx/news/hires/2018/solarpowerpl.jpg,2025-02-18 16:30:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: CC0 Public...",science,University Of Tsukuba,Yes,Real,Images\image_365.jpg
Potential target for multiple sclerosis therapy discovered,https://scx2.b-cdn.net/gfx/news/hires/2025/potential-target-for-m.jpg,2025-02-18 16:21:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Under the microsco...","medical, science",Inka Väth,Yes,Real,Images\image_366.jpg
Sudden vision loss in children: Study in China points to a novel retinal disorder,https://scx2.b-cdn.net/gfx/news/2025/hord-study-in-china-po.jpg,2025-02-18 16:20:01+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

A 6-year-old girl ...","medical, science",Justin Jackson,Yes,Real,Images\image_367.jpg
Uncovering inequalities in breast cancer immunotherapy access,https://scx2.b-cdn.net/gfx/news/2025/uncovering-inequalitie.jpg,2025-02-18 16:14:05+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Estimated prevalen...","medical, science",University Of Chicago Medical Center,Yes,Real,Images\image_369.jpg
Grid cells' rhythmic sweeps reshape understanding of brain's spatial navigation,https://scx2.b-cdn.net/gfx/news/2025/grid-cell-networks-map.jpg,2025-02-18 16:11:06+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Ten times per seco...","medical, science",Rita Elmkvist Nilsen,Yes,Real,Images\image_370.jpg
"Even after learning the right idea, humans and animals still seem to test other approaches",https://scx2.b-cdn.net/gfx/news/hires/2025/idea.jpg,2025-02-18 16:00:11+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Pixabay/CC...","medical, science",Massachusetts Institute Of Technology,Yes,Real,Images\image_371.jpg
"ABC-7 at 4: EPWater, TecH2O Learning Center host annual DiscoverE",https://kvia.com/wp-content/uploads/2025/02/DiscoverE-1.png,2025-02-18 15:42:44+00:00,"El Paso, TX (KVIA-TV)—EPWater, TecH2O Learning Center host the annual DiscoverEFree event to inspire the next generation of engineers. The free family event will celebrate engineers and engage students and their families on Saturday, February 22, from 11:00 a.m. to 3 p.m. DiscoverE will offer new an...","regional, el-paso, texas, education",Nichole Gomez,Yes,Real,Images\image_373.png
"AI model automatically segments MRI images, reducing radiologist workload",https://scx2.b-cdn.net/gfx/news/hires/2025/researchers-develop-ai-1.jpg,2025-02-18 15:00:03+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Example MRI scans ...","medical, science",Radiological Society Of North America,Yes,Real,Images\image_378.jpg
Racial disparities seen in care after abnormal mammograms,https://scx2.b-cdn.net/gfx/news/hires/2023/mammogram.jpg,2025-02-18 15:00:02+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Unsplash/C...","medical, science",University Of Washington School Of Medicine,Yes,Real,Images\image_379.jpg
"Abortion bans in the US linked to increased births and infant mortality, studies find",https://scx2.b-cdn.net/gfx/news/hires/2025/black-baby-2.jpg,2025-02-18 14:50:01+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Unsplash/C...","medical, science",Justin Jackson,Yes,Real,Images\image_380.jpg
"Medtronic Q3 Earnings: Cardiovascular And Neuroscience Drive Growth, Surgical Revenue Dips, Reaffirms Annual Forecast",https://cdn.benzinga.com/files/images/story/2025/02/18/Chicago--Illinois--Usa--Aug-31--2023--Me.jpeg?width=1200&height=800&fit=crop,2025-02-18 14:30:15+00:00,"Medtronic reported Q3 revenue of $8.29 billion, missing estimates, while EPS of $1.39 topped forecasts. The company reaffirmed its FY25 organic growth guidance.",finance,Vandana Singh,Yes,Real,Images\image_383.jpeg
HIV protein switch may help virus squeeze into host cell nucleus,https://scx2.b-cdn.net/gfx/news/hires/2022/hiv-2.jpg,2025-02-18 14:02:14+00:00,"This article has been reviewed according to Science X's editorial process and policies . Editors have highlighted the following attributes while ensuring the content's credibility:

Credit: Pixabay/CC...","medical, science",Pittsburgh Supercomputing Center,Yes,Real,Images\image_385.jpg
Science Crossword: Creative Bursts,https://static.scientificamerican.com/dam/m/1d759b538f62dbef/original/Games-AllGamesIcon.jpg?m=1720649253.362,2025-02-18 14:00:00+00:00,Play this crossword inspired by the March 2025 issue of Scientific American.,science,scientificamerican,Yes,Real,Images\image_386.jpg
"Science History from 50, 100 and 150 Years Ago",https://static.scientificamerican.com/dam/m/79c80667491e31a5/original/sa0325Hist01.jpg?m=1739544125.484&w=1200,2025-02-18 14:00:00+00:00,Color blindness; the end of fire,science,Mark Fischetti,Yes,Real,Images\image_387.jpg
